Hello!	Nǐ hǎo!	你好！
His grades are (in the general case) better than mine, even though he doesn't study very much.	tā de fēnshù zǒng bǐ wǒ gāo, jǐnguǎn tā xuéxí děi shǎo yīdiǎn.	他的分数总比我高，尽管他学习得少一点。
I've bought a pair of shoes.	Wǒ mǎile yī shuāng xié.	我买了一双鞋。
I want to buy a pair of shoes.	Wǒ xiǎng mǎi yī shuāng xié.	我想买一双鞋。
Can I try on this pair of shoes?	Wǒ kěyǐ shì yīxià zhè shuāng xié ma?	我可以试一下这双鞋吗？
Put on your shoes. Let's go out for dinner.	chuān shàng nǐ de xié , wǒmen chūqù chī wǎnfàn .	穿上你的鞋，我们出去吃晚饭。
They are hesitating about which shoes to buy.	Tāmen zài yóuyù mǎi nǎ shuāng xié.	她们在犹豫买哪双鞋。
Could I use your pencil?	wǒ néngyòng yīxià nǐ de qiānbǐ ma ?	我能用一下你的铅笔吗？
I do my homework in pencil.	Wǒ yòng qiānbǐ xiě zuòyè.	我用铅笔写作业。
I'm doing my homework.	Wǒ zài zuò zuòyè.	我在做作业。
Doing homework is very boring.	Zuò zuòyè hěn wúliáo.	做作业很无聊。
The shop has closed down.	Shāngdiàn xiūyè le.	商店休业了。
She's been laid off.	Tā shīyè le.	她失业了。
There are many colored pencils.	Zhèli yǒu hěn duō cǎisè qiānbǐ.	这里有很多彩色铅笔。
Seriously though, episode 21 made me almost cry while laughing.	dànshì shuō zhēnde , dì 21 jí ràng wǒ xiào děi yǎnlèi dōu yào chūlái le .	但是说真的，第21集让我笑得眼泪都要出来了。
He often searches for all kinds of information on the Net.	Tā cháng zài wǎngshàng sōusuǒ gèzhǒng xìnxī.	他常在网上搜索各种信息。
Tokyo's railway network is very advanced.	Dōngjīng de tiělùwǎng hěn fādá.	东京的铁路网很发达。
Railroads connect cities.	Tiělù bǎ chéngshì liánqǐlái.	铁路把城市连起来。
He was so excited that he couldn't utter a word.	Tā hěn jīdòng, shènzhì lián huà dōu shuō bu chūlái le.	他很激动，甚至连话都说不出来了。
He's in an excited mood.	Tā de qíngxù hěn jīdòng.	他的情绪很激动。
Music is a common speech for humanity. <br /> Music is the universal language.	yīnyuè shì rénlèi gòng tōng de yǔyán .	音乐是人类共通的语言。
Let's take a group photo.	Wǒmen lái héyǐng ba.	我们来合影吧。
The people here are accustomed to the cold.	zhèli de rén xíguàn le hánlěng .	这里的人习惯了寒冷。
She's heard some shocking news.	Tā tīngdàole yī gè jīngrén de xiāoxi.	她听到了一个惊人的消息。
Why does Ms. Zhu study English?	Zhū xiǎojiě wèishénme xuéxí Yīngyǔ?	朱小姐为什么学习英语？
Ms. Zhu doesn't have class on Tuesday.	Zhū xiǎojiě xīngqī'èr méiyǒu kè.	朱小姐星期二没有课。
Ms. Zhu's pronunciation is extremely good.	Zhū xiǎojiě de fāyīn tài hǎo le.	朱小姐的发音太好了。
Ms. Zhu taught a Chinese class.	Zhū xiǎojiě jiāoguò hànyǔ kè.	朱小姐教过汉语课。
Last weekend Ms. Zhu was very busy.	Shànggè zhōumò Zhū xiǎojiě hěn máng.	上个周末朱小姐很忙。
Ms. Zhu went to Dalian yesterday.	Zhū xiǎojiě zuótiān qù Dàlián le.	朱小姐昨天去大连了。
Ms. Zhu lost her key.	Zhū xiǎojiě yàoshi diūle.	朱小姐钥匙丢了。
Why did Ms. Zhu do that?	Zhū xiǎojiě wèishénme nàme zuò?	朱小姐为什么那么做？
Who is Ms. Zhu?	Shéi shì Zhū xiǎojiě?	谁是朱小姐？
He felt very nervous when it was his turn to speak.	Lún dào tā yǎnjiǎng le, tā gǎnjué hěn jǐnzhāng.	轮到他演讲了，他感觉很紧张。
This nurse is very gentle.	Zhè gè hùshi hěn wēnhé.	这个护士很温和。
She has a mild temperament.	Tāde píqi hěn wēnhé.	她的脾气很温和。
It's a ten-volume book.	Zhè tào shū gòng shí cè.	这套书共十册。
He is trying to steal the car.	Tā qǐtú tōu chē.	他企图偷车。
He attempted to kill the President.	Tā qǐtú shā zǒngtǒng.	他企图杀总统。
A boat capsized.	yī sōu chuán diào le tóu .	一艘船掉了头。
I want a boat that will take me far away from here.	wǒ yào yī sōu chuán dài wǒ líkāi zhèli .	我要一艘船带我离开这里。
I want a boat that will take me far away from here.	wǒ xiǎng yào yī sōu chuán dài wǒ yuǎnlí zhèli .	我想要一艘船带我远离这里。
There's a ship on the sea.	Hǎishàng yǒu sōu chuán.	海上有艘船。
On his arrival in London, he sent me a telegram.	tā yī dào Lúndūn jiù gěi wǒ fā le ge diànbào .	他一到伦敦就给我发了个电报。
That's a playground over there.	Nàli shì értóng lèyuán.	那里是儿童乐园。
Pass me the ball!	Bǎ qiú chuán gěi wǒ!	把球传给我！
Dying hair has become fashionable now.	Xiànzài shíxīng rǎnfà.	现在时兴染发。
We need to protect the water resource.	Wǒmen yào bǎohù shuǐ zīyuán.	我们要保护水资源。
Nice hit!	Qiú dǎ de zhēn miào.	球打得真妙。
Tai Chi exercises are appropriate for the elderly.	Tàijí yùndòng shìhé lǎoniánrén.	太极运动适合老年人。
The plane has arrived at the airport.	Fēijī dǐdále jīchǎng.	飞机抵达了机场。
The plane has arrived at its destination.	Fēijī dǐdále mùdìdì.	飞机抵达了目的地。
I'll arrive in Beijing at 3 p.m.	Wǒ xiàwǔ sān diǎn dǐdá Běijīng.	我下午3点抵达北京。
They are arriving here soon from Hong Kong.	tāmen jiù kuài cóng Xiānggǎng dǐdá le .	他们就快从香港抵达了。
The Japanese Minister of Foreign Affairs has arrived in Beijing.	Rìběn wàijiāo bùzhǎng dǐdá Běijīng.	日本外交部长抵达北京。
We also went to the temple.	wǒmen yě qù le miào lǐ .	我们也去了庙里。
I won't go unless he does.	Chúfēi tā qù,  yàoburán  wǒ bù qù.	除非他去，要不然我不去。
The director is a smart person.	Zhǔrèn shì gè cōngmíng rén.	主任是个聪明人。
The earthquake injured many people.	Dìzhèn ràng bù shǎo rén shòushāng.	地震让不少人受伤。
Earthquakes frequently occur on this island.	Zhè gè dǎo jīngcháng fāshēng dìzhèn.	这个岛经常发生地震。
A strong earthquake occurred on this small island.	Zhè gè xiǎodǎo fāshēng le qiángliè de dìzhèn.	这个小岛发生了强烈的地震。
I'm afraid of earthquakes.	wǒ pà dìzhèn .	我怕地震。
The disaster caused many people to starve to death.	Zāinàn zàochéng bù shǎo rén èsǐ.	灾难造成不少人饿死。
Because no one looked after it, the puppy starved to death.	Yīnwèi méi rén zhàogù, nàzhī xiǎo gǒu èsǐ le.	因为没人照顾，那只小狗饿死了。
We're following that dog.	Wǒmen zài gēnzōng nà tiáo gǒu.	我们在跟踪那条狗。
Can you turn off the light?	Nǐ kěyǐ guān dēng ma?	你可以关灯吗？
One must seize the chance of each interview.	Yào bǎwò měi cì miànshì de jīhuì.	要把握每次面试的机会。
There's a large stretch of grass in the park.	Gōngyuán lǐ yǒu yī piàn qīng cǎodì.	公园里有一片青草地。
I don't like to drink green tea.	Wǒ bù xǐhuan hē lǜchá.	我不喜欢喝绿茶。
My little brother likes to watch basketball.	Wǒ dìdi xǐhuan kàn lánqiú.	我弟弟喜欢看篮球。
I like red roses.	Wǒ xǐhuan hóng méigui.	我喜欢红玫瑰。
The roses smell very fragrant.	Méigui zhēn xiāng!	玫瑰真香！
She has a rose in her hand.	tā shǒu lǐ ná zháo yī duǒ méigui .	她手里拿着一朵玫瑰。
This rose is really pretty.	Zhè duǒ méigui zhēn piàoliang.	这朵玫瑰真漂亮。
I love the smell of roses the most.	Wǒ zuì xǐhuan méigui de wèidào.	我最喜欢玫瑰的味道。
The taste of the wine is a little weak.	Jiǔ de wèidao yǒudiǎn dàn.	酒的味道有点淡。
Roses have thorns.	Méigui yǒu cì.	玫瑰有刺。
The leaf is light green.	Yèzi shì dànlǜsè de.	叶子是淡绿色的。
Roses remind people of love.	Méigui ràng rén liánxiǎng dào àiqíng.	玫瑰让人联想到爱情。
The leaves have turned yellow.	Yèzi biànhuáng le.	叶子变黄了。
This is a newly-dug ditch.	Zhè tiáo gōu shì xīn wā de.	这条沟是新挖的。
The dead are buried here.	Zhèli máizhe sǐwáng de rén.	这里埋着死亡的人。
We're going to visit the Great Wall today.	Wǒmen jīntiān qù yóulǎn Chángchéng.	我们今天去游览长城。
Mom has shut the door tightly.	Māma bǎ mén guānyán le.	妈妈把门关严了。
Who is he talking to?<br />Our teacher.<br />Is she strict?<br />Yes.	Tā zài gēn shéi shuōhuà?<br />Wǒmen de lǎoshī.<br />Tā yán ma?<br />Shì de.	A他在跟谁说话?<br/>B我们的老师。<br/>A她严吗？<br/>B是的。
All kinds of vegetables are sold in the market.	Shìchǎng lǐ chūshòu gè zhǒng shūcài.	市场里出售各种蔬菜。
It will definitely rain tonight.	Jīnwǎn bìdìng huì xiàyǔ.	今晚必定会下雨。
Donna was born with a silver spoon in her mouth.	Donna shì hán zhe jīnyào chí chūshēng de .	Donna是含着金钥匙出生的。
Cakes have a high percentage of sugar.	Dàngāo hántángliàng gāo.	蛋糕含糖量高。
Mom was pestering me to get up.	Māma cuī wǒ qǐchuáng.	妈妈催我起床。
Please raise your hand if you want to answer the question.	Qǐng jǔshǒu huídá wèntí.	请举手回答问题。
The shape of these stones is different.	Zhèxiē shítou de xíngzhuàng bù tóng.	这些石头的形状不同。
The shape of this piece of furniture is very special.	Zhèjiàn jiājù de xíngzhuàng hěn tèshū.	这件家具的形状很特殊。
The road is very narrow.	Lù hěn zhǎi.	路很窄。
Narrow is the opposite of wide.	Yǔ zhǎi xiāngduì de shì kuān.	与窄相对的是宽。
This old professor's character is noble.	Zhèwèi lǎo jiàoshòu de dàodé hěn gāoshàng.	这位老教授的道德很高尚。
He has a bit of a stomach ache.	Tā juéde wèi yǒudiǎn tòng.	他觉得胃有点痛。
My stomach hurts.	wǒ wèitòng .	我胃痛。
His major is medicine.	Tā xué de zhuānyè shì yīxué.	他学的专业是医学。
She gathered some flowers.	Tā cǎile yīxiē huā.	她采了一些花。
He's set a new record.	Tā chuàngzàole xīn jìlù.	他创造了新纪录。
He broke the record.	Tā dǎpò le jìlù.	他打破了纪录。
He broke the record in the high jump competition.	Tiàogāo bǐsài zhōng, tā pò jìlù le.	跳高比赛中，他破纪录了。
He is a tennis player.	tā shì ge wǎngqiú qiú shǒu .	他是个网球球手。
I closed my books and am about to leave.	Wǒ héshàng shū zhǔnbèi líkāi.	我合上书准备离开。
They shook hands amiably.	Tāmen yǒuhǎo de wòshǒu.	他们友好地握手。
Leaders from the two sides shook hands.	Shuāngfāng lǐngdǎo ren wòshǒu.	双方领导人握手。
They are discussing the case.	Tāmen zài tǎolùn zhè gè ànzi.	他们在讨论这个案子。
The government is currently investigating that case.	Zhèngfǔ zhèngzài diàochá nà jiàn ànzi.	政府正在调查那件案子。
The Minister is involved in this case.	Zhèjiàn ànzi shèjí dào bùzhǎng.	这件案子涉及到部长。
Many people are involved in this case.	Zhè gè ànjiàn shèjí dào hěn duō rén.	这个案件涉及到很多人。
This case involved many people.	Zhè gè ànjiàn shèjí le hěn duō rén.	这个案件涉及了很多人。
She bought her boyfriend a tie.	Tā gěi nán péngyou mǎi le yītiáo lǐngdài.	她给男朋友买了一条领带。
Your tie is not straight.	Nǐ de lǐngdài wāi le.	你的领带歪了。
Don't pull my tie!	Bié chě wǒ de lǐngdài.	别扯我的领带。
They're chatting.	Tāmen zài chě jiācháng.	她们在扯家常。
The sun is shining on the tree leaves.	Yángguāng zhào zài shùyè shàng.	阳光照在树叶上。
The tree leaves have fallen to the ground.	Shùyè diào zài dìshang.	树叶掉在地上。
The leaves are very green.	Shùyè hěn lǜ.	树叶很绿。
The grass is very green.	Zhèxiē xiǎocǎo hěn lǜ.	这些小草很绿。
She's just a substitute teacher.	Tā shì dàikè lǎoshī.	她是代课老师。
Our army won.	Wǒ jūn shènglì le.	我军胜利了。
Your proposal is worthy of being considered.	nǐ de tíyì zhíde kǎolǜ .	你的提议值得考虑。
I can't think of any other way of getting him to accept our proposal.	wǒ kàn bù chū yǒu qítā fāngfǎ néng ràng tā jiēshòu wǒmen de tíyì .	我看不出有其他方法能让他接受我们的提议。
There's too much salt in this soup.	zhè tāng lǐ yán fàng duō le .	这汤里盐放多了。
He's practicing a new tune.	Tā zài liànxí xīn qǔzi.	他在练习新曲子。
She's delightedly humming a song.	Tā kuàilè de hēngzhe qǔzi.	她快乐的哼着曲子。
The teacher is very strict with me.	Lǎoshī duì wǒ hěn yánlì.	老师对我很严厉。
Upon graduating, everyone was filled with the joy of success.	Bìyèle dàjiā dōu chōngmǎnle chénggōng de xǐyuè.	毕业了大家都充满了成功的喜悦。
She's waving to me.	Tā zài duì wǒ zhāoshǒu.	她在对我招手。
She waved at me before she got on board the plane.	tā shàng fēijī qián , gěi wǒ zhāo le zhāoshǒu .	她上飞机前，给我招了招手。
The press conference is about to begin.	Jìzhě zhāodàihuì yào kāishǐ le.	记者招待会要开始了。
The State Council held a press conference.	Guówùyuàn zhàokāi le jìzhě zhāodàihuì.	国务院召开了记者招待会。
They're moving today.	Tāmen jīntiān bānjiā.	他们今天搬家。
He moved.	Tā bānjiā le.	他搬家了。
We're about to move to Beijing.	Wǒmen zhǔnbèi bānjiā dào Běijīng.	我们准备搬家到北京。
When will you move?<br />March 15th.	Nǐ shénmeshíhou bānjiā?<br />Sān yuè shíwǔ hào.	A你什么时候搬家？<br/>B三月15号。
He really cares about how teacher views him.	Tā hěn zàihu lǎoshī duì tāde kànfǎ.	他很在乎老师对他的看法。
Is speaking Russian difficult?	Shuō Éyǔ nán ma?	说俄语难吗？
Speaking Russian is really difficult.	Shuō Éyǔ hěn nán.	说俄语很难。
Russian is very difficult to learn.	Xué Éyǔ hěn nán.	学俄语很难。
He graduated from Red Star elementary school.	Tā zài Hóng Xīng xiǎoxué bìyè.	他在红星小学毕业。
He lives a difficult life.	Tāde shēnghuó hěn jiānkǔ.	他的生活很艰苦。
They are out of work. Their lives are very difficult.	Tāmen shīyè le, shēnghuó hěn jiānkǔ.	他们失业了，生活很艰苦。
This is a five-star hotel.	Zhè shì yī jiā wǔxīngjí bīnguǎn.	这是一家五星级宾馆。
I have six mouths to feed.	wǒ yào yǎnghuo 6 gèrén .	我要养活6个人。
She really likes the fragrant smell.	Tā hěn xǐhuan zhè gè xiāngwèi.	她很喜欢这个香味。
My grandfather is going to be sixty soon.	Yéye jíjiāng bèn liùshí le.	爷爷即将奔六十了。
Bad guys always like to cheat people.	Huàirén zǒng xǐhuan piàn rén.	坏人总喜欢骗人。
He said he did not enter the room, which was a lie.	tā shuō tā méiyǒu jìn fángjiān , nà shì piànrén de .	他说他没有进房间，那是骗人的。
This river is too dirty. It needs to be treated.	Zhètiáo hé tài zāng le, xūyào zhìlǐ le.	这条河太脏了，需要治理了。
That President governed America very well.	Nàge Měiguó zǒngtǒng bǎ guójiā zhìlǐde hěn hǎo.	那个美国总统把国家治理得很好。
The President received full support from Congress.	Zǒngtǒng huòdé guóhuì chōngfèn de zhīchí.	总统获得国会充份的支持。
The United States is abundant in natural resources.	Měiguó de zìrán zīyuán hěn fēngfù .	美国的自然资源很丰富。
He won a prize, so we told him to treat us to a meal.	Tā huòjiǎng le, wǒmen jiào tā qǐngkè.	他获奖了，我们叫他请客。
Although he didn't get the prize, he maintained a good state of mind.	Suīrán méiyǒu huòjiǎng, dàn tā xīnli hěn pínghéng.	虽然没有获奖，但他心里很平衡。
During the competition, he won awards again and again.	Tā zài bǐsài zhōng liánlián huòjiǎng.	他在比赛中连连获奖。
She lost her ring.	Tā diūle jièzhi.	她丢了戒指。
China is a rather stable country.	Zhōngguó shì ge bǐjiào āndìng de guójiā.	中国是个比较安定的国家。
Ordinary people want a stable life.	Lǎobǎixìng xīwàng shēnghuó āndìng.	老百姓希望生活安定。
The toy bear is very cute.	Wánjù xióng hěn kě'ài.	玩具熊很可爱。
They went swimming on their summer vacation.	Tāmen shǔjià qù yóuyǒng.	他们暑假去游泳。
He finally finished his summer homework.	Tā zhōngyú wánchéng le shǔjià zuòyè.	他终于完成了暑假作业。
His attitude is unyielding.	Tāde tàidù hěn qiángyìng.	他的态度很强硬。
The attitude of America is very hard-line.	Měiguó de tàidù hěn qiángyìng.	美国的态度很强硬。
It is expensive running this car.	zhè liàng chē bǎoyǎng qǐlai hěn guì .	这辆车保养起来很贵。
The President of the United States signed the treaty.	Měiguó zǒngtǒng zài héyuē shàng qiānzì.	美国总统在合约上签字。
He is memorizing vocabulary.	Tā zài bèi dānzì.	他在背单字。
It is important to memorize characters when learning Chinese.	Xué hànyǔ jì dānzì hěn zhòngyào.	学汉语记单字很重要。
It is very meaningful to learn Chinese well.	Xué hǎo hànyǔ hěn yǒu yìyì.	学好汉语很有意义。
This is the most beautiful sight that I have ever seen.	zhè shì wǒ jiànguo zuì měi de jǐngsè le .	这是我见过最美的景色了。
The view at dusk is really beautiful.	Bàngwǎn de jǐngsè zhēn měi.	傍晚的景色真美。
The color of the puppy's fur is as white as snow.	Xiǎogǒu de máosè xuěbái.	小狗的毛色雪白。
That gray building?	nà dòng huīsè de dàlóu ma ?	那栋灰色的大楼吗？
There is a grey rabbit here.	Zhèr yǒu yī zhī huīsè de tùzi.	这儿有一只灰色的兔子。
She would like to try on the purple shirt.	Tā xiǎng shìshi zǐsède chènshān.	她想试试紫色的衬衫。
He's chasing after them.	Tā zài zhuīgǎn tāmen.	他在追赶他们。
The leaves fall in autumn.	qiūtiān shùyè huì diàoluò .	秋天树叶会掉落。
The box fell.	Xiāngzi dǎo le.	箱子倒了。
These boxes are very heavy.	Zhèxiē xiāngzi hěn zhòng.	这些箱子很重。
This case is very light.	Zhè gè xiāngzi hěn qīng.	这个箱子很轻。
"He's crying ""help""."	"Tā zài hǎn ""jiùmìng""."	他在喊“救命”。
She's willing to marry him.	Tā yuànyì jià gěi tā.	她愿意嫁给他。
She's willing to marry me.	Tā yuànyì jià gěi wǒ.	她愿意嫁给我。
My sister married a doctor.	wǒ mèimei jiàgěi le yī gè yīshēng .	我妹妹嫁给了一个医生。
She married a rich man.	tā jiàgěi le yī ge yǒu qián rén .	她嫁给了一个有钱人。
He married his daughter to a bank clerk.	tā bǎ tā nǚér jiàgěi le yī gè yínhángjiā .	他把他女儿嫁给了一个银行家。
I like bean curd.	Wǒ xǐhuan chī dòufu.	我喜欢吃豆腐。
A bicycle race is being held here.	Zhèli zài jìnxíng zìxíngchē jìngsài.	这里在进行自行车竞赛。
During this knowledge competition, the red team won.	Zhècì de zhīshí jìngsài, hóng duì yíng le.	这次的知识竞赛，红队赢了。
In this competition, the blue team won.	Zhè cì de jìngsài,  lánduì yíng le.	这次的竞赛，蓝队赢了。
They're standing in a row.	Tāmen zhànchéng yī háng.	她们站成一行。
The education budget has increased.	Jiàoyù yùsuàn zēngjiā le.	教育预算增加了。
The company budgeted for the expense of this project.	Gōngsī yùsuàn le zhè gè xiàngmù de huāfèi.	公司预算了这个项目的花费。
She is an ethnic minority.	Tā shì shǎoshù mínzú.	她是少数民族。
What do his words imply?	tā dehuà ànshì zhe shénme ?	他的话暗示着什么？
I like to go climbing.	Wǒ xǐhuan páshān.	我喜欢爬山。
Today we are going climbing.	Jīntiān wǒmen yào qù cānjiā páshān huódòng.	今天我们要去参加爬山活动。
We have arangements to go climbing tomorrow.	Wǒmen yuē hǎo míngtiān qù páshān.	我们约好明天去爬山。
We have made reservations to travel to Huangshan this weekend.	Wǒmen yuē hǎo zhōumò qù Huángshān lǚxíng.	我们约好周末去黄山旅行。
You shouldn't run red lights.	Bù néng chuǎng hóngdēng.	不能闯红灯。
He violated traffic rules by running the red light.	Tā chuǎng hóngdēng, wéifǎn le jiāotōng guīzé.	他闯红灯，违反了交通规则。
There's a lot of mud on the road.	Lùshang yǒu hěn duō ní.	路上有很多泥。
He's plastering the wall.	Tā zài nìqiáng.	他在泥墙。
He clearly could not have climbed over such a high wall.	Zhème gāo de qiáng, xiǎnrán tā fān bù guòqù.	这么高的墙，显然他翻不过去。
Our plan went wrong from the beginning.	wǒmen de jìhuà cóng yī kāishǐ jiù chūcuò le .	我们的计划从一开始就出错了。
Take your time, or you may make some mistakes.	mànmàn lái , bùrán nǐ kěnéng huì chūcuò de .	慢慢来，不然你可能会出错的。
The 2008 Olympic Games is an opportunity for China's development.	Èr líng líng bā nián àoyùn huì shì Zhōngguó fāzhǎn de yī gè jīyù.	2008年奥运会是中国发展的一个机遇。
Dad's in an impatient mood today.	bàba jīntiān hěnbù nàifán .	爸爸今天很不耐烦。
She's very clever with her hands.	Tā de shǒu hěn qiǎo.	她的手很巧。
Her hands are very nimble and she can make clothes herself.	Tāde shǒu hěn qiǎo, huì zìjǐ zuò yīfu.	她的手很巧,会自己做衣服。
What a coincidence! I was just about to fetch you and you are here.	Hěn qiǎo! wǒ zhèng yào qù zhǎo nǐ, nǐ jiù lái le.	很巧！我正要去找你，你就来了。
She feels that the new American president is a person of strong character.	Tā juéde Měiguó xīnrèn zǒngtǒng shì yī gè xìnggé jiānqiáng de rén.	她觉得美国新任总统是一个性格坚强的人。
This subject is over my head, I can't do it.	Zhè dào tímù tài shēn'ào, wǒ bù huì zuò.	这道题目太深奥，我不会做。
She's changing the baby's diaper.	Tā zài gěi bǎobao huàn niàopiàn.	她在给宝宝换尿片。
He's very short.	Tā hěn ǎi.	他很矮。
I am shorter than you.	Wǒ bǐ nǐ ǎi.	我比你矮。
Tall is the opposite of short.	Yǔ gāo xiāngduì de shì ǎi.	与高相对的是矮。
He's been punished.	Tā shòudàole chéngfá.	他受到了惩罚。
If we did the same thing, we should receive punishment.	yàoshi wǒmen zuò le tóngyàng de shì, wǒmen jiāng huì shòudào chéngfá.&nbsp;(tongyang / tongyiyang / yiyang)	要是我们做了同样的事，我们将会受到惩罚。
He made a mistake and his father punished him.	Tā fàn cuò le, bàba chéngfá le tā.	他犯错了，爸爸惩罚了他。
That bad guy was finally punished under the law.	Nàge huàirén zhōngyú shòudào fǎlǜ de chéngfá.	那个坏人终于受到法律的惩罚。
Dangerous driving should be punished.	wēixiǎn de xíngwéi yīng shòudào chéngfá .	危险的行为应受到惩罚。
He carries a copy of the Bible in his hand.	Tā shǒuli názhe yī běn Shèngjīng.	他手里拿着一本圣经。
The little dog loves bones.	Xiǎo gǒu xǐhuan chī gǔtou.	小狗喜欢吃骨头。
Some classmate saw me give him chocolate.	yīxiē tóngxué kànjiàn wǒ gěi le tā qiǎokèlì.	一些同学看见我给了他巧克力。
He is wearing a grey overcoat.	Tā chuān huīsède dàyī.	他穿灰色的大衣。
He was an outstanding philosopher.	Tā shì yī míng chūsè de zhéxuéjiā.	他是一名出色的哲学家。
I'm overweight.	Wǒ chāozhòng le.	我超重了。
Human kind has many ethnic groups.	Rénlèi yǒu hěn duō zhǒng zú.	人类有很多种族。
You're despicable (or You're such a jerk).	Nǐ zhēn kěwù.	你真可恶。
She's staying in a hotel.	Tā zài jiǔdiàn zhùsù.	她在酒店住宿。
The dorms of overseas students is very good.	Liú xuésheng de zhù sù tiáojiàn hěn hǎo.	留学生的住宿条件很好。
How many tons does this elephant weigh?	Zhè tóu xiàng zhòng jǐ dūn?	这头象重几吨？
As soon as he reported the incident to the police, the police came rapidly.	Tā yī bàojǐng, jǐngchá jiù xùnsù lái le.	他一报警，警察就迅速来了。
He hasn't heard from her for quite a long time.	Tā yǐjing hěn jiǔ méiyǒu shōudào tā de yīnxìn.	他已经很久没有收到她的音信。
Children are very dependent on their parents.	Háizi hěn yīlài fùmǔ.	孩子很依赖父母。
My web address is …	Wǒde wǎngzhǐ shì ……	我的网址是……
He wrote the web address on the blackboard.	Tā bǎ wǎngzhǐ xiě zài le hēibǎn shàng.	他把网址写在了黑板上。
Tell me all about your plan.	qǐng bǎ nǐmen de quán pán jìhuà gàosu wǒ .	请把你们的全盘计划告诉我。
We should take more supplemental vitamins.	Wǒmen yīnggāi duō bǔchōng diǎn wéishēngsù.	我们应该多补充点维生素。
I’ve heard that the Journey to the West is very famous.	Wǒ tīngshuō 《Xīyóujì》 hěn yǒu míng.	我听说《西游记》很有名。
The Journey to the West is not famous in the West.	Xīyóujì zài Xīfāng bù chūmíng.	《西游记》在西方不出名。
How do white people treat other races?	Báirén zěnme duìdài qítā rénzhǒng?	白人怎么对待其他人种？
Most Chinese are of the yellow race.	Dàduōshù Zhōngguó rén shì huángsè rénzhǒng.	大多数中国人是黄色人种。
She's wearing a yellow hat.	Tā dàizhe yī dǐng huángsè de màozi.	她戴着一顶黄色的帽子。
I bought a luxury car.	Wǒ mǎile yī liàng gāodàng qìchē.	我买了一辆高档汽车。
She's listening to music.	Tā zhèngzài tīng yīnyuè.	她正在听音乐。
She loves listening to music.	Tā ài tīng yīnyuè.	她爱听音乐。
He likes to listen to music.	Tā xǐhuan tīng yīnyuè.	他喜欢听音乐。
My hobby is listening to music.	Wǒde àihào shì tīng yīnyuè.	我的爱好是听音乐。
Mr. Liu is very angry today.	Liú xiānsheng jīntiān hěn shēngqì.	刘先生今天很生气。
Mr. Liu is going back to Suzhou today.	Liú xiānsheng jīntiān huí Sūzhōu.	刘先生今天回苏州。
Mr. Liu is with his family.	Liú xiānsheng gēn jiārén zài yīqǐ.	刘先生跟家人在一起。
Mr. Liu can't go home.	Liú xiānsheng bù kěyǐ huí jiā.	刘先生不可以回家。
Mr. Liu came yesterday.	Liú xiānsheng zuótiān lái le.	刘先生昨天来了。
He works with Mr. Liu.	Tā gēn Liú xiānsheng yīqǐ gōngzuò.	他跟刘先生一起工作。
Where is Mr. Liu from?	Liú xiānsheng shì shénme dìfang rén?	刘先生是什么地方人？
Mr. Liu does not like being single.	Liú xiānsheng bù xǐhuan dānshēn.	刘先生不喜欢单身。
Mr. Liu wants to go to the office today.	Liú xiānsheng jīntiān yào qù bàngōngshì.	刘先生今天要去办公室。
Mr. Liu teaches history.	Liú xiānsheng jiāo lìshǐ.	刘先生教历史。
Mr. Liu's English pronunciation is not good.	Liú xiānshēng Yīngyǔ fāyīn bù hǎo.	刘先生英语发音不好。
The newspapers have been printed.	Bàozhǐ yìnshuā hǎo le.	报纸印刷好了。
The teacher made a list of excellent students.	Lǎoshī lièchū le yōuxiù xuésheng de míngdān.	老师列出了优秀学生的名单。
Europe is heaven for the arts.	Ōuzhōu shì yìshù de tiāntáng.	欧洲是艺术的天堂。
How to differentiate between art and pornography?	Yìshù hé sèqíng, zěnme qūbié?	艺术和色情，怎么区别？
Sometimes, the color yellow represents pornography.	Yǒushíhou, huángsè dàibiǎo sèqíng.	有时候，黄色代表色情。
Many porn websites were shut down by the government.	Xǔduō sèqíng wǎngzhàn bèi zhèngfǔ guānbì le.	许多色情网站被政府关闭了。
His soccer skills are excellent.	Tā de qiúyì hěn hǎo.	他的球艺很好。
The air in the countryside is very fresh.	Xiāngxia de kōngqì hěn hǎo.	乡下的空气很好。
The state of sanitation in the countryside is very bad.	Xiāngxià de wèishēng tài chà le.	乡下的卫生太差了。
The lives of people in the countryside are very bitter.	Xiāngxia lǎobǎixìng shēnghuó hěn kǔ.	乡下老百姓生活很苦。
He lives in the countryside.	Tā zhùzài xiāngxia.	他住在乡下。
They went to the countryside to vacation.	Tāmen dào xiāngxia qù dùjià.	他们到乡下去度假。
She lets her children have their own way too much.	tā tài fàngrèn tā de háizimen le .	她太放任她的孩子们了。
This cup of tea is very hot.	Zhè bēi chá hěn tàng.	这杯茶很烫。
She's ironing the clothes.	Tā zài tàng yīfu.	她在烫衣服。
That is very valuable.	Nàge dōngxi hěn zhíqián.	那个东西很值钱。
He cursed me ferociously.	Tā hěnhěn de mà wǒ.	他狠狠地骂我。
I want to go to Seattle.	wǒ xiǎng qù xīyātú .	我想去西雅图。
He is dejected.	Tā de qíngxù hěn dīluò.	他的情绪很低落。
He came over, carrying a tray of beer.	Tā duānzhe píjiǔ zǒu guòlái.	他端着啤酒走过来。
